Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1596.06095652484/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xb9a287b42eea68c49ab38f2d0c7383acf3a7bb90955d8f395fd0d777de97ad07,12368351,1620139072,2021-05-04 14:37:52,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,10,0,15960.6095652484,0.002184,3.48579712905025,3241.09,,,Transfer
0xdb592cdb9aca0c7edbd6bd3d96c011818b9cd991bb8c69704892db732124a571,12368359,1620139140,2021-05-04 14:39:00,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0x3cd751e6b0078be393132286c442345e5dc49699,,0,9.998005,15957.4254236401,0.001995,3.18414160826706,3241.09,,,Transfer
0x88701c2e45f6563f8dcb0887f71d5711b7d190416d6c91f4d5dc8dcbcdca08a6,12368367,1620139195,2021-05-04 14:39:55,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,1200,0,1915273.14782981,0.002226,3.55283168922429,3241.09,,,Transfer
0xed8b2df6c90c4fa97cb737100769308b76057058a60fd688b7579f5dd5e3bc91,12368373,1620139292,2021-05-04 14:41:32,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0x3cd751e6b0078be393132286c442345e5dc49699,,0,1199.997984,1915269.93017092,0.002016,3.21765888835408,3241.09,,,Transfer
0x4a90ce62c0f87e02623f5974a2c68852707a130c1bb3e0b15d1e1356a1a5e866,12594805,1623167716,2021-06-08 15:55:16,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,1700,0,2713303.62609223,0.00168,2.68138240696173,2509.23,,,Transfer
0x35302f37ad747feab0b78e7d810aca07e6851ecf5d6fe15b7ebcc4e365909b9e,12594815,1623167856,2021-06-08 15:57:36,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,,0,1699.99811,2713300.60953702,0.00189,3.01655520783195,2509.23,,,Transfer
0x8c192eb322dda4769c9fa56945850615207348d5d87f03d9c51d3005794f25a8,12956515,1628050559,2021-08-04 04:15:59,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,1,0,1596.06095652484,0.000861,1.37420848356789,2725.72,,,Transfer
0xdf6c30df2c8e2cb46c2a97431c97bf45fc4617cadfafb6d74b9e21f60653f47a,12956543,1628050963,2021-08-04 04:22:43,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,1000,0,1596060.95652484,0.000861,1.37420848356789,2725.72,,,Transfer
0x79992ab657e9c2717e220053cf83143cf97855a7fb535b13ec0448c85b262387,12956605,1628051794,2021-08-04 04:36:34,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0xa090e606e30bd747d4e6245a1517ebe430f0057e,,0,0.999517,1595.29005908284,0.000483,0.770897442001498,2725.72,,,Transfer
0x3d686139ead0abde19cc6ff7a09c13960e92e78cdfb950ddfb5a34735c6fa8d5,12956620,1628051980,2021-08-04 04:39:40,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,,0,999.999349,1596059.91748916,0.000651,1.03903568269767,2725.72,,,Transfer
0x381041dd5752e95eabc55e71f90205768f47877f45253061b7fc78522d671de3,13170639,1630910471,2021-09-06 06:41:11,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,1,0,1596.06095652484,0.0021,3.35172800870216,3928.40,,,Transfer
0x8340cba31157f41f3c9dd200134bb9fd7492325c0c61b8aaa706143da9d12d4a,13170644,1630910540,2021-09-06 06:42:20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0x3cd751e6b0078be393132286c442345e5dc49699,,0,0.995926,1589.55860418796,0.002024983590693,3.23199724670857,3928.40,,,Transfer
0x2f934525b34cad8f569908453c9043ae2b5bf16970bd3c01c8b697cf33ba0ccf,13170647,1630910583,2021-09-06 06:43:03,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,1500,0,2394091.43478726,0.0021,3.35172800870216,3928.40,,,Transfer
0xea2f9505718bb168cec95350b98d0f95293a3f00874476b60f625a2387f81586,13170661,1630910719,2021-09-06 06:45:19,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0x3cd751e6b0078be393132286c442345e5dc49699,,0,1499.998605016410000,2394089.20830842,0.001697705490915,2.70964144972727,3928.40,,,Transfer
0x2305deaf06d5d14e77e00dc92b29ffa4b6c7b2124878e594187935e0b02f6e3e,13255600,1632047231,2021-09-19 10:27:11,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0xa090e606e30bd747d4e6245a1517ebe430f0057e,,0,0.000066294509085,0.10581007758255,0.000741653540565,1.18372425936421,3328.85,,,Transfer
0x8a4d05d102acdabbe6b4c71314d816369359fa2d20aca621f79f579a3f76f7b4,15383323,1661075830,2022-08-21 09:57:10,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,0xa090e606e30bd747d4e6245a1517ebe430f0057e,,0,0.000791346459435,1.26303718698837,0.000101254177374,0.161607839191682,1617.86,,,Transfer
