Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1597.44000307605/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xb4bd55db10c5b13db654de031c90f6df8f135c57f094cd5cf48de31b93b25438,12203157,1617937952,2021-04-09 03:12:32,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x542f2980386a55832f457c3645af5ecf5e500c20,,0.01,0,15.9744000307605,0.002079,3.32107776639511,2066.55,,,Transfer
0x17c1f81358a14329da993a216910d88ae1603f9400d880f8f638afb4899a4066,12203446,1617941943,2021-04-09 04:19:03,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,0,0.001,1.59744000307605,0.001995,3.18689280613672,2066.55,,,Transfer
0xb9a287b42eea68c49ab38f2d0c7383acf3a7bb90955d8f395fd0d777de97ad07,12368351,1620139072,2021-05-04 14:37:52,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,0,10,15974.4000307605,0.002184,3.48880896671809,3241.09,,,Transfer
0x88701c2e45f6563f8dcb0887f71d5711b7d190416d6c91f4d5dc8dcbcdca08a6,12368367,1620139195,2021-05-04 14:39:55,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,0,1200,1916928.00369126,0.002226,3.55590144684729,3241.09,,,Transfer
0x4195dd4564e6b56fdd307eddd6029c169b4d49c8601963d74fa2651591176ee5,12369031,1620148167,2021-05-04 17:09:27,0x542f2980386a55832f457c3645af5ecf5e500c20,0x2b1bb560591bc497116a65523d58c78e018bfd05,,0,1,1597.44000307605,0.00252,4.02554880775165,3241.09,,,Transfer
0xaeae537db83e3177ef11cdb7a20c469b695cf0f649bb60fab855b43ffbfa4eb6,12375963,1620240799,2021-05-05 18:53:19,0x542f2980386a55832f457c3645af5ecf5e500c20,0x2b1bb560591bc497116a65523d58c78e018bfd05,,0,98.92,158018.765104283,0.001764,2.81788416542615,3522.18,,,Transfer
0xc23fecd0bfeaaf6bd4b51c7bdf9daca13ea46eca7962bda93ee4a2a9bebe16e8,12465726,1621439107,2021-05-19 15:45:07,0x542f2980386a55832f457c3645af5ecf5e500c20,0x78465d5af7ec453f6ab20d908e7e065a4429dbff,,0,37.3695,59695.5341949505,0.01344,21.4695936413421,2442.89,,,Transfer
0x279456c77b7b6a511e3af13d551ba92896714045ccef2ae926013fc16347d06b,12580258,1622973306,2021-06-06 09:55:06,0x542f2980386a55832f457c3645af5ecf5e500c20,0x2b1bb560591bc497116a65523d58c78e018bfd05,,0,151.6885,242313.277906601,0.000294,0.469647360904359,2710.99,,,Transfer
0x4a90ce62c0f87e02623f5974a2c68852707a130c1bb3e0b15d1e1356a1a5e866,12594805,1623167716,2021-06-08 15:55:16,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,0,1700,2715648.00522928,0.00168,2.68369920516776,2509.23,,,Transfer
0x8c192eb322dda4769c9fa56945850615207348d5d87f03d9c51d3005794f25a8,12956515,1628050559,2021-08-04 04:15:59,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,0,1,1597.44000307605,0.000861,1.37539584264848,2725.72,,,Transfer
0xdf6c30df2c8e2cb46c2a97431c97bf45fc4617cadfafb6d74b9e21f60653f47a,12956543,1628050963,2021-08-04 04:22:43,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,0,1000,1597440.00307605,0.000861,1.37539584264848,2725.72,,,Transfer
0x1f949fcdeb8908b4d167c532addb02812a5270a829b8a55c5e910e1d92ad0ee5,12969299,1628224693,2021-08-06 04:38:13,0x542f2980386a55832f457c3645af5ecf5e500c20,0x2b1bb560591bc497116a65523d58c78e018bfd05,,0,378.96,605365.8635657,0.000882,1.40894208271308,2892.36,,,Transfer
0x57304d13a8816b11cab75283c48a48ff80091d9376fcc470eaffad913339bb72,12969324,1628225028,2021-08-06 04:43:48,0x542f2980386a55832f457c3645af5ecf5e500c20,0x1bd60a32e0e8412f523f38525f11018207802a36,,0,1,1597.44000307605,0.001088556,1.73890289998845,2892.36,,,Transfer
0x381041dd5752e95eabc55e71f90205768f47877f45253061b7fc78522d671de3,13170639,1630910471,2021-09-06 06:41:11,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,0,1,1597.44000307605,0.0021,3.35462400645971,3928.40,,,Transfer
0x2f934525b34cad8f569908453c9043ae2b5bf16970bd3c01c8b697cf33ba0ccf,13170647,1630910583,2021-09-06 06:43:03,0x542f2980386a55832f457c3645af5ecf5e500c20,0x5c94041cb08d2fe95eafedd03f59ff82dd7c3c75,,0,1500,2396160.00461408,0.0021,3.35462400645971,3928.40,,,Transfer
