Txhash,Blockno,UnixTimestamp,DateTime (UTC),ParentTxFrom,ParentTxTo,ParentTxETH_Value,From,TxTo,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1590.48779598966/Eth,Historical $Price/Eth,Status,ErrCode,Type,
0xcaa97e11fa1b7b49a6fc2cca46e00f00e75115a4adfc56dfeb38739d0104d302,3806121,1496362830,2017-06-02 00:20:30,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0xff299b7db06dc5640257cc7cfb8adb43172fc529,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,127,0,201991.950090687,222.04,0,,call,
0x615b28fcdeb0dbbb107a8fe11c7ecd87d5699d1098326b4b155788fb8bf96b5f,3826240,1496698676,2017-06-05 21:37:56,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0xff299b7db06dc5640257cc7cfb8adb43172fc529,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,1035.5,0,1646950.11274729,247.75,0,,call,
0xc179d9548bf928eeeab37f51febf5db00c82b2ec52b622e512ad9b3184cdf36e,3884489,1497654983,2017-06-16 23:16:23,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0x6b66e73a60a06ffaeb1d1274bc9dab120b021da9,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,20,0,31809.7559197932,353.61,0,,call,
0x6de698bd7bac4b82917719fb9cd67d85068d8e1f1707bab70059757328703641,3899960,1497905248,2017-06-19 20:47:28,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0xee59e6c21f2da5c07f7c3fa94abb7fa14a0b7607,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,30,0,47714.6338796898,358.20,0,,call,
0x969ad0a976a42cb1db00ca0575aac9633d7def6e15453adadee630b8be698006,3899972,1497905462,2017-06-19 20:51:02,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0xd3715aad3806338103ed8ce7d4d13310280483cc,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,24.99,0,39746.2900217816,358.20,0,,call,
0xfc77dba1e492579f7c976e3fed5a0dedb6b6ecd1c3b85a24c47346064290380d,3899974,1497905533,2017-06-19 20:52:13,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0x2062eee4cd78bcea309b99b1ad74c82da32f51ba,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,14.9,0,23698.2681602459,358.20,0,,call,
0x2c5415c5d2d3c475fe0ea0d2726141b750a94959b8e8de8724777189788cf5f7,3900051,1497906910,2017-06-19 21:15:10,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0x5aec192d6652a7eb1a9eec8b16d1fa71d5918019,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,14.99,0,23841.412061885,358.20,0,,call,
0x6c5ea14998491218c0fd5c073e37d1f5339f8ceb310f5287cdb0a01b19fbccc1,3900052,1497906919,2017-06-19 21:15:19,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0x78e62fe57ad01b35bf0a610b246ccd52881fe833,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,59.99,0,95413.3628814197,358.20,0,,call,
0xc9cb212f833686c53c9159888405db4b46218e86b1ad0a06f109726d06714216,3900056,1497907019,2017-06-19 21:16:59,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0xfc2bb24f46973e959267b635cc902cf18455271a,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,11.99,0,19069.948673916,358.20,0,,call,
0x9b3ba5a04c623f6f17628506f1f1f4112b5f773de032527872242546bc8e575d,3900060,1497907058,2017-06-19 21:17:38,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,0,0x6b66e73a60a06ffaeb1d1274bc9dab120b021da9,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,99.99,0,159032.874721006,358.20,0,,call,
