Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1590.24479267268/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xffb5204262f3aac8f8a4386e58a4c82e49fcff53093ada7aaa460b11f55b6db4,3790091,1496106862,2017-05-30 01:14:22,0xd1da9eb7ac9415973cd139557b3b3b5c7bfb63bd,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,,2504.5,0,3982768.08324873,0.000441,0.701297953568652,228.58,,,Transfer
0x7e98101ed98e6f17bea241ebac55d479f4f71a8c7b6595896de2f68ddba449ac,3801980,1496294491,2017-06-01 05:21:31,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,1200,1908293.75120722,0.010040928,15.9675334656013,220.70,,,New Bid
0xcaa97e11fa1b7b49a6fc2cca46e00f00e75115a4adfc56dfeb38739d0104d302,3806121,1496362830,2017-06-02 00:20:30,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,0,0,0.001081647,1.72008350926003,222.04,,,Unseal Bid
0x615b28fcdeb0dbbb107a8fe11c7ecd87d5699d1098326b4b155788fb8bf96b5f,3826240,1496698676,2017-06-05 21:37:56,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,0,0,0.002036496,3.23852715929874,247.75,,,Finalize Auction
0xd19a252b14327bcd66cae8fb58eded17e6433d9f03d6964efcf3eb4616c91dcf,3882120,1497617351,2017-06-16 12:49:11,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,60,95414.6875603608,0.008787156,13.9737290714025,353.61,,,New Bid
0xa21f1f4a6fbe60335fb0cc5d426348580ab1e5a426b7edfd79641f555cec57e6,3882136,1497617606,2017-06-16 12:53:26,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,120,190829.375120722,0.008787156,13.9737290714025,353.61,,,New Bid
0x059b635764fb48cdf44269736e1457193800b1c797b324d82e810646f50678b2,3882170,1497618088,2017-06-16 13:01:28,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,0,0,0.001257165,1.99920009478035,353.61,,,Start Auction
0xdc080112a2f62c2d26569fd0a50fc172d7b3d0ba4cfe037f2f4fa112477b384f,3882170,1497618088,2017-06-16 13:01:28,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,50,79512.239633634,0.008787156,13.9737290714025,353.61,,,New Bid
0x78ccadcf3b55af86d7416bb8e9e857e390f9be4b3a27ea9198d975e53603d3c1,3882195,1497618418,2017-06-16 13:06:58,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,12,19082.9375120722,0.008787156,13.9737290714025,353.61,,,New Bid
0xfc27423126183deb27660a0ecc3fab4c187474c7104ac8ef737ac06d75993bd6,3882202,1497618534,2017-06-16 13:08:54,0x5b5674da9adf18f66e347262c00dcdaf3766d7b0,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,,0,25,39756.119816817,0.008787156,13.9737290714025,353.61,,,New Bid
