,delegator_address,validator_address,shares,operator_address,moniker,website,details,tokens,jailed
0,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1ps7dmygt4wm72t8l9kdjetelhggsv8w77mdh33,0.890169737129626000,cosmosvaloper1wrxkqna8w5ldl3twgmyne6fvt9hsfgmksrjwlj,discontinued,,,1999800,TRUE
0,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x7z5r2qs,100000000000.000000000000000000,cosmosvaloper1wrxkqna8w5ldl3twgmyne6fvt9hsfgmksrjwlj,discontinued,,,1999800,TRUE
1,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x7z5r2qs,248500000000.000000000000000000,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,kytzu,https://www.kytzu.com,Kytzu Validator,477646135728,FALSE
1,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1p650epkdwj0jte6sjc3ep0n3wz6jc9ehh8jutg,100000000000.000000000000000000,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,kytzu,https://www.kytzu.com,Kytzu Validator,477646135728,FALSE
2,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1pexrxk6s9aznl8ap2g8jr87ktc3a7dd8xf0etj,0.666733337778222000,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,Genesis Lab,https://genesislab.net,Genesis Lab is a blockchain-focused development company and validation nodes operator in PoS networks,262636475808,FALSE
2,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,300000000000.000000000000000000,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,Genesis Lab,https://genesislab.net,Genesis Lab is a blockchain-focused development company and validation nodes operator in PoS networks,262636475808,FALSE
3,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,3125380290.000000000000000000,cosmosvaloper1wd8vquxza6svsvvnh489tdvg9vdjjfpepcfvf9,DeBank,,,1017413119,TRUE
3,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kpe4x72,300000000000.000000000000000000,cosmosvaloper1wd8vquxza6svsvvnh489tdvg9vdjjfpepcfvf9,DeBank,,,1017413119,TRUE
4,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1zp6kg7qlmztyw2km2af4z5ruz5vn04cp9npe79,0.259911327936760000,cosmosvaloper1wwspfe7whh3zu4ql5rvpg044lyk6cuu7fpnd9e,Bit Cat🐱,https://www.bitcat365.com,Secure and stable validator service from China team,15069361,TRUE
4,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1r50v53ua3mgfczlgf6jclycx2edcsaaftfjzs6,33000000000.000000000000000000,cosmosvaloper1wwspfe7whh3zu4ql5rvpg044lyk6cuu7fpnd9e,Bit Cat🐱,https://www.bitcat365.com,Secure and stable validator service from China team,15069361,TRUE
5,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1r8kyvg4me2upnvlk26n2ay0zd5t4jktna8hhxp,245000000000.000000000000000000,cosmosvaloper1w024sqzpvj5g57maxmvnlzellzwapwsv42360d,Earn Stash,https://www.earnstash.com,Earn Stash – Helping you earn more with your stake. High reliability. Low commission. Visit our site earnstash.com to learn more.,10433226253,FALSE
5,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper19j2hd230c3hw6ds843yu8akc0xgvdvyuz9v02v,100000000000.000000000000000000,cosmosvaloper1w024sqzpvj5g57maxmvnlzellzwapwsv42360d,Earn Stash,https://www.earnstash.com,Earn Stash – Helping you earn more with your stake. High reliability. Low commission. Visit our site earnstash.com to learn more.,10433226253,FALSE
6,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1rcp29q3hpd246n6qak7jluqep4v006cdsc2kkl,229039828711.000000000000000000,cosmosvaloper1w0330zv7quttes76vmdhda3tnz045uqs37wfx0,Mythos,https://mythos.services,Staking and validator services for crypto networks,248458302763,FALSE
6,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper19kwwdw0j64xhrmgkz49l0lmu5uyujjayxakwsn,33000000000.000000000000000000,cosmosvaloper1w0330zv7quttes76vmdhda3tnz045uqs37wfx0,Mythos,https://mythos.services,Staking and validator services for crypto networks,248458302763,FALSE
7,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper19j2hd230c3hw6ds843yu8akc0xgvdvyuz9v02v,235300084902.000000000000000000,cosmosvaloper1w0494h0l4mneaq7ajkrcjvn73m2n04l87j2nst,heaven,,,1169369,TRUE
7,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,300000000000.000000000000000000,cosmosvaloper1w0494h0l4mneaq7ajkrcjvn73m2n04l87j2nst,heaven,,,1169369,TRUE
8,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8n583gx,234970000000.000000000000000000,cosmosvaloper1w42lm7zv55jrh5ggpecg0v643qeatfkd9aqf3f,mythos-legacy,https://mythos.services,Staking and validator services for crypto networks,36880080,TRUE
8,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1x065cjlgejk2p2la0029akfvdy52gtq9mm58ta,100000000000.000000000000000000,cosmosvaloper1w42lm7zv55jrh5ggpecg0v643qeatfkd9aqf3f,mythos-legacy,https://mythos.services,Staking and validator services for crypto networks,36880080,TRUE
9,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,972000.000000000000000000,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,Staked,https://staked.us/,"Staked operates highly available and highly secure, institutional grade staking infrastructure for leading proof-of-stake (PoS) protocols.",1037052489135,FALSE
9,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1fqzqejwkk898fcslw4z4eeqjzesynvrdfr5hte,300000000000.000000000000000000,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,Staked,https://staked.us/,"Staked operates highly available and highly secure, institutional grade staking infrastructure for leading proof-of-stake (PoS) protocols.",1037052489135,FALSE
10,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1f63lrmnn4upu722kxdhw04taxa6w50lnar88dx,0.000000000000000001,cosmosvaloper1w6em34qympp59ecdu4ef4f5elcdlyp787tahxd,bantest,,,500000,FALSE
10,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8n583gx,100000000000.000000000000000000,cosmosvaloper1w6em34qympp59ecdu4ef4f5elcdlyp787tahxd,bantest,,,500000,FALSE
11,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1tr5var87ga3fyy9d0r76uurpmkfm05rg37xacn,0.970600519315353000,cosmosvaloper1wukx88lfn7l4gfmrgsy96h6kf5tvrv3ucg502l,#NGC StakeX,https://www.ngc.fund/,NGC StakeX IS BACKING COSMOS! IRIS! LOOM! TOMO!,32976606,TRUE
11,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,100000000000.000000000000000000,cosmosvaloper1wukx88lfn7l4gfmrgsy96h6kf5tvrv3ucg502l,#NGC StakeX,https://www.ngc.fund/,NGC StakeX IS BACKING COSMOS! IRIS! LOOM! TOMO!,32976606,TRUE
12,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,5000950000.000000000000000000,cosmosvaloper1wa9zrywwzzwcvarngjq3rrhv6z9gzw4htq3sv3,BTC.Secure,https://btcsecure.io,Staking-as-a-Service Provider. Secure and reliable validator infrastructure with 50+ servers in 11 countries.,29686143,TRUE
12,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper12w6tynmjzq4l8zdla3v4x0jt8lt4rcz5gk7zg2,100000000000.000000000000000000,cosmosvaloper1wa9zrywwzzwcvarngjq3rrhv6z9gzw4htq3sv3,BTC.Secure,https://btcsecure.io,Staking-as-a-Service Provider. Secure and reliable validator infrastructure with 50+ servers in 11 countries.,29686143,TRUE
13,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1ttfytaf43nkytzp8hkfjfgjc693ky4t3y2n2ku,34998000000.000000000000000000,cosmosvaloper1wauge4px27c257nfn4k3329wteddqw7gs3n66u,DappPub,https://dapp.pub,"DappPub, Unleashing the Power of DApps",100010569562,TRUE
13,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,100000000000.000000000000000000,cosmosvaloper1wauge4px27c257nfn4k3329wteddqw7gs3n66u,DappPub,https://dapp.pub,"DappPub, Unleashing the Power of DApps",100010569562,TRUE
14,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1te8nxpc2myjfrhaty0dnzdhs5ahdh5agzuym9v,175248805456.000000000000000000,cosmosvaloper1wlpz5hau2ezu0gmuxav63m53d8s77az9wfzlt6,🤑 uGaenn ⛅,ugaenn.io,Your Gain is Our First Priority,65832845768,FALSE
14,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1ttfytaf43nkytzp8hkfjfgjc693ky4t3y2n2ku,33000000000.000000000000000000,cosmosvaloper1wlpz5hau2ezu0gmuxav63m53d8s77az9wfzlt6,🤑 uGaenn ⛅,ugaenn.io,Your Gain is Our First Priority,65832845768,FALSE
15,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1vz0clw0mqw5cjvmk38hg6nakkmvwugxrrhjhkg,0.678027061518663000,cosmosvaloper1wlagucxdxvsmvj6330864x8q3vxz4x02rmvmsu,DSRV,https://dsrvlabs.com,,45845022560,FALSE
15,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1d0aup392g3enru7eash83sedqclaxvp7fzh6gk,100010000925.525000000000000000,cosmosvaloper1wlagucxdxvsmvj6330864x8q3vxz4x02rmvmsu,DSRV,https://dsrvlabs.com,,45845022560,FALSE
16,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1d0aup392g3enru7eash83sedqclaxvp7fzh6gk,21040000000.000000000000000000,cosmosvaloper1083svrca4t350mphfv9x45wq9asrs60cdmrflj,notional,,,164289525993,FALSE
16,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1de7qx00pz2j6gn9k88ntxxylelkazfk3g8fgh9,33000000000.000000000000000000,cosmosvaloper1083svrca4t350mphfv9x45wq9asrs60cdmrflj,notional,,,164289525993,FALSE
17,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1wp9jne5t3e4au7u8gfep90g59j0qdhpeqvlg7n,50000985000.000000000000000000,cosmosvaloper10f9wkd6vdspac05djyfwfx0uxcqxapnqhnkcg8,Tavis Digital,https://tavis-digital.com,Swiss Asset Manager,96020565938,FALSE
17,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1wp9jne5t3e4au7u8gfep90g59j0qdhpeqvlg7n,33000000000.000000000000000000,cosmosvaloper10f9wkd6vdspac05djyfwfx0uxcqxapnqhnkcg8,Tavis Digital,https://tavis-digital.com,Swiss Asset Manager,96020565938,FALSE
18,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,247700000000.000000000000000000,cosmosvaloper102zp2v3ysn8nhuk5q7lvxzsthg8usmw2c0s405,Validatrium.com - 0% fee,https://validatrium.com,Stake with us!,41500000,FALSE
18,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,100000000000.000000000000000000,cosmosvaloper102zp2v3ysn8nhuk5q7lvxzsthg8usmw2c0s405,Validatrium.com - 0% fee,https://validatrium.com,Stake with us!,41500000,FALSE
19,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,25750000.000000000000000000,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,Ztake.org,https://ztake.org/,Support reliable independent validator,631819309179,FALSE
19,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,100000000000.000000000000000000,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,Ztake.org,https://ztake.org/,Support reliable independent validator,631819309179,FALSE
20,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1w0330zv7quttes76vmdhda3tnz045uqs37wfx0,234395558103.000000000000000000,cosmosvaloper10wz6lfhmqfw6egg0062ytnawaj6vr89ly5g4yg,BitMax Staking,https://bitmax.io/,Trading Platform Industry Leader driven by Product Innovation,1489558,TRUE
