**cstv,,,,,,,
,,,,,,,
Chain ID,TxHash,Height,Time,Type,Validator Address,Name,Amount ATOM
cosmoshub-1,D660E3293D0633546F132B8ACFE10EC19BD66F9C2E2CD6792DD631654B6EC0F5,91442,2019-03-20 22:42:26,Delegate,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,B-Harvest,"7,692.31"
,,,,Delegate,cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,Forbole,7692.307692
,,,,Delegate,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,Staked,7692.307692
,,,,Delegate,cosmosvaloper1uhnsxv6m83jj3328mhrql7yax3nge5svrv6t6c,S16 Research Ventures,7692.307692
,,,,Delegate,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,Staking Fund,7692.307692
,,,,Delegate,cosmosvaloper1k9a0cs97vul8w2vwknlfmpez6prv8klv03lv3d,Stake Capital,7692.307692
,,,,Delegate,cosmosvaloper1cgh5ksjwy2sd407lyre4l3uj2fdrqhpkzp06e6,Hash Quark,7692.307692
,2D343521EA6FF918C0EE7D9CB2122086983AA928EC70FF668BA982679BBCE534,91526,2019-03-20 22:52:06,Delegate,cosmosvaloper14l0fp639yudfl46zauvv8rkzjgd4u0zk2aseys,Atomic Power Node,7692.307692
,,,,Delegate,cosmosvaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2nvwher,DragonStake,7692.307692
,,,,Delegate,cosmosvaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhudrgcky,Chainflow,7692.307692
,,,,Delegate,cosmosvaloper1s65zmn32zugl57ysj47s7vmfcek0rtd7he7wde,firstblock,7692.307692
,,,,Delegate,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,Ztake.org,7692.307692
,,,,Delegate,cosmosvaloper1rcp29q3hpd246n6qak7jluqep4v006cdsc2kkl,in3s.com,7692.307692
,,,,Delegate,cosmosvaloper1emaa7mwgpnpmc7yptm728ytp9quamsvu837nc0,kochacolaj,7692.307692
,25EDD9EE854869AE9EF1961365C71A4AB1B5EFC943292C3DDF587A4F78E76E51,91539,2019-03-20 22:53:36,Delegate,cosmosvaloper1jxv0u20scum4trha72c7ltfgfqef6nsch7q6cu,Ping,7692.307692
,,,,Delegate,cosmosvaloper19kwwdw0j64xhrmgkz49l0lmu5uyujjayxakwsn,Firmamint,7692.307692
,,,,Delegate,cosmosvaloper1w42lm7zv55jrh5ggpecg0v643qeatfkd9aqf3f,mythos-legacy,7692.307692
,,,,Delegate,cosmosvaloper1n5pu2rtz4e2skaeatcmlexza7kheedzh8a2680,BlockMatrix,7692.307692
,,,,Delegate,cosmosvaloper1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8n583gx,Compass,7692.307692
,,,,Delegate,cosmosvaloper19j2hd230c3hw6ds843yu8akc0xgvdvyuz9v02v,syncnode,7692.307692
,,,,Delegate,cosmosvaloper1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6d330wg,omega3,7692.307692
,3EF6D2982CAD7CAD598CF0BD63298B4E5A64FA18B7E8EE2F9880AB905205F87C,91545,2019-03-20 22:54:18,Delegate,cosmosvaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucudztfe,KalpaTech,7692.307692
,,,,Delegate,cosmosvaloper1r8kyvg4me2upnvlk26n2ay0zd5t4jktna8hhxp,noma,7692.307692
,,,,Delegate,cosmosvaloper1u6ddcsjueax884l3tfrs66497c7g86skn7pa0u,Sentinel,7692.307692
,,,,Delegate,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,kytzu,7692.307692
,,,,Delegate,cosmosvaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x7z5r2qs,Cypher Core,7692.307692
,95B258A7CCA6562032879D5BE0B22AE41FFB27BFAA1CB04F14C168BB9485C1FB,99163,2019-03-21 13:33:11,Delegate,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,B-Harvest,"63,245.49"
